Year,Chair,Vice-Chair,Secy(until 2001Secy/Treas),Treasurer,At-Large Member,At-Large Member,At-Large Member,Past-Chair,Bulletin Editor,Asst
1969,"Organick, Elliott",,"Aiken, Robert",,,,,,"Hildebrandt, TW",
1970,"Organick, Elliott",,"Matula, David",,,,,,"Aiken, Robert",
1971-1973,"Finerman, Aaron","Kurtz, Tom","Matula, David",,"Aiken, Robert ","Denning, Peter ","Hamming, Richard",,"Aiken, Robert",
1973-1975,"Austing, Richard","Engel, Gerald","Jump, J. Robert",,"Bateman, Barry","Finerman, Aaron","Pollock, Seymour",,"Bonnette, Della","Dalphin, John"
1975-1977,"Austing, Richard","Kerr, Douglas","Dalphin, John",,"Bateman, Barry","Aiken, Robert","Organick, Elliott",,"Bonnette, Della","Dalphin, John"
1977-1979,"Aiken, Robert","Gibbs, Norman","Walker, Terry",,"Austing, Richard","Engel, Gerald","Sproule, Betty",,"Bonnette, Della","Gorgone, John"
1979-1981,"Aiken, Robert","Gibbs, Norman","Powell, James",,"Austing, Richard","Engel, Gerald","Sproule, Betty",,"Bonnette, Della","Gorgone, John"
1981-1983,"Gibbs, Norman","Bonnette, Della","Schrage, John Frederick",,"Aiken, Robert ","Dale, Nell","Little, Joyce Currie",,"Miller, James",
1983-1985,"Gibbs, Norman","Bonnette, Della","Cupper, Robert",,"Aiken, Robert ","Dale, Nell","Little, Joyce Currie",,"Miller, James",
1985-1987,"Bonnette, Della","Koffman, Elliot","Cupper, Robert",,"Cassel, Lillian","Turner, A. Joe","Little, Joyce Currie",,"Miller, James",
1987-1989,"Koffman, Elliot","Dale, Nell","Cupper, Robert",,"Cassel, Lillian","Turner, A. Joe","Little, Joyce Currie",,"Miller, James",
1989-1991,"Koffman, Elliot","Dale, Nell","Cupper, Robert",,"Cassel, Lillian","Turner, A. Joe","Little, Joyce Currie",,"Miller, James",
1991-1993,"Dale, Nell","Cassel, Lillian","Taylor, Harriet",,"Cunningham, Steve","Pancake, Cherri","Shiflet, Angela",,"Miller, James",
1993-1995,"Cassel, Lillian","Schneider, G. Michael","Walker, Henry",,"Hartman, Janet","Reek, Margaret","Myers, J. Paul",,"Miller, James",
1995-1997,"Cassel, Lillian","Schneider, G. Michael","Walker, Henry",,"Hartman, Janet","Reek, Margaret","Myers, J. Paul",,"Miller, James",
1997-1999,"Klein, Bruce","Reek, Margaret","Walker, Henry",,"Roberts, Eric","Owens, Barbara","Davies, Gordon","Cassel, Lillian","Impagliazzo, John",
1999-2001,"Klein, Bruce","Reek, Margaret","Walker, Henry",,"Roberts, Eric","Owens, Barbara","Davies, Gordon","Cassel, Lillian","Impagliazzo, John",
2001-2004,"Walker, Henry","Owens, Barbara","Fincher, Sally","Grissom, Scott","Almstrum, Vicki","Adams, Elizabeth","Prey, Jane","Klein, Bruce","Impagliazzo, John",
2004-2007,"Walker, Henry","Owens, Barbara","Fincher, Sally","Almstrum, Vicki","Joyce, Dan","McCauley, Renee","Young, Alison","Klein, Bruce","Impagliazzo, John",
2007-2010,"Owens, Barbara","Young, Alison","Joyce, Dan","McCauley, Renee","Baldwin, Doug","Dann, Wanda","Russell, Ingrid","Walker, Henry","Impagliazzo, John",
2010-2013,"McCauely, Renee","Joyce, Dan","Rodger, Susan","Baldwin, Doug","Barnes, Tiffany","Guzdial, Mark","Settle, Amber","Owens, Barbara","Walker, Henry Alvarado, Christine","Sweedyk, Z"
2013-2016,"Rodger, Susan","Tymann, Paul","Sheard, Judy","Settle, Amber","Fitzgerald, Sue","Barnes, Tiffany","Clear, Alison","McCauely, Renee","Doyle, Maureen","Kauchak, Dave"
2016-2019,"Settle, Amber","Sheard, Judy","Fitzgerald, Sue","Decker, Addrienne","Craig, Michelle","Morrison, Briana","Weiss, Mark","Rodger, Susan","Doyle, Maureen","Porter, Leo"
019-2022.html,2019-2022,"Decker, Adrienne","Garcia, Dan","Luxton-Reilly, Andrew","Porter, Leo","Egan, Mary Anne","Murphy, Laurie","Pérez-Quiñones, Manuel","Settle, Amber","Miller, Jeffrey","Wallace, Charles"
2022-2025,"Clear, Alison","Becker, Brett","Garcia, Dan","Denner, Jill","Duran, Rodrigo Silva","Rankin, Yolanda A.","Sheard, Judy","Decker, Adrienne","Wallace, Charles","Smith, Julie"
